Index,Year,Opening Weekend Gross,US & Canada Gross,Worldwide Gross,Budget,awards,oscar wins,oscar nominated,Genre,Genre,Genre,Director 1,Director 2,Director 3
153,1951,,26597,29662,1200000,3,0,1,Crime,Drama,Film-Noir,Alfred Hitchcock,,
154,1944,,,,1164000,0,0,0,Comedy,Crime,Thriller,Frank Capra,,
155,1940,258994,404524,411663,944000,5,2,1,Comedy,Romance,,George Cukor,,
156,2002,104396,9357911,64825249,,46,1,1,Drama,Mystery,Romance,Pedro Almodóvar,,
157,1938,,,,1900000,6,3,1,Action,Adventure,Romance,Michael Curtiz, William Keighley,
158,1958,,,,2240000,5,0,1,Comedy,Drama,Romance,Morton DaCosta,,
159,1973,432,125493,197075,,20,1,1,Comedy,Drama,,Federico Fellini,,
160,1958,,,,3000000,3,0,1,Drama,,,Richard Brooks,,
161,1938,,,,,3,0,1,Crime,Drama,Film-Noir,Michael Curtiz,,
162,1985,,437547,569996,5000000,0,0,0,Biography,Drama,,Paul Schrader,,
163,1945,,,10128,1453000,3,1,1,Crime,Drama,Film-Noir,Michael Curtiz,,
164,2023,,,,,0,0,0,Animation,,,Christopher McCulloch,,
165,1939,,,,,2,0,0,Crime,Drama,Film-Noir,Raoul Walsh,,
166,1994,,763847,763847,1900000,29,0,1,Drama,Romance,War,Milcho Manchevski,,
167,2018,,,,,0,0,0,Documentary,Biography,Comedy,Marina Zenovich,,
168,2003,4632847,7718961,7808524,300000,0,0,1,Documentary,Biography,Music,Lauren Lazin,,
169,2017,,,899782,,17,0,0,Biography,Comedy,Drama,Daniel Rezende,,
170,2012,62340,62340,5300000,,0,0,0,Animation,Fantasy,Mystery,Yukihiro Miyamoto, Akiyuki Shinbô,
171,2018,,,,,0,0,0,Documentary,Biography,,Susan Lacy,,
172,2006,37140,850920,1658393,,13,0,0,Documentary,,,Rob Stewart,,
173,2013,,,,,0,0,0,Action,,,Vikramaditya Motwane,,
174,2005,,,,,0,0,0,Documentary,,,Brian J. Terwilliger,,
175,2003,,,,,0,0,0,Documentary,Biography,,Richard Schickel,,
176,1993,,,,,0,0,0,Documentary,Music,,Barry Alexander Brown,,
177,1998,,,,,2,0,0,Comedy,Mystery,Romance,Francesca Talenti,,
178,1977,,,,,0,0,0,Drama,,,Uwe Brandner,,
179,2022,134008624,369345583,772245583,185000000,35,0,1,Action,Crime,Drama,Matt Reeves,,
180,1971,526633,573368,622861,3000000,3,0,1,Family,Fantasy,Musical,Mel Stuart,,
181,2011,12768604,102515793,232617430,90000000,26,1,1,Crime,Drama,Mystery,David Fincher,,
182,2004,13464745,81417274,118231114,29000000,12,0,0,Drama,Romance,,Nick Cassavetes,,
183,2012,84617303,303030651,1017030651,180000000,11,0,1,Adventure,Fantasy,,Peter Jackson,,
184,1993,23758855,183875760,368875760,44000000,13,1,1,Action,Crime,Drama,Andrew Davis,,
185,2017,50513488,189740665,530380130,100000000,66,3,1,Action,Drama,History,Christopher Nolan,,
186,2008,26853816,127509326,335802786,150000000,85,3,1,Drama,Fantasy,Romance,David Fincher,,
187,1990,10076834,61276872,61277597,20000000,6,1,1,Drama,Thriller,,Rob Reiner,,
188,2016,515499,169607287,235956898,25000000,37,0,1,Biography,Drama,History,Theodore Melfi,,
189,2007,5837000,23637265,80577265,8000000,2,0,0,Action,Comedy,Mystery,Edgar Wright,,
190,2013,73645197,258387334,959027992,225000000,19,0,1,Adventure,Drama,Fantasy,Peter Jackson,,
191,2015,60200180,161197785,201634991,28000000,28,0,1,Biography,Drama,History,F. Gary Gray,,
192,2003,24271354,111127263,454627263,140000000,20,0,1,Action,Drama,,Edward Zwick,,
193,1976,,31800000,31800000,3700000,0,0,1,Western,,,Clint Eastwood,,
194,2005,22347341,119519402,186797986,28000000,45,1,1,Biography,Drama,Music,James Mangold,,
195,1969,,44785053,44801177,3600000,28,3,1,Drama,,,John Schlesinger,,
196,2017,11001961,40907738,227307860,40000000,15,0,0,Adventure,Comedy,Family,Paul King,,
197,1944,,,,,6,2,1,Crime,Drama,Mystery,George Cukor,,
198,1956,,,,3750000,3,0,0,Adventure,Drama,Western,John Ford,,
199,2018,1620294,32015231,64656608,,34,0,1,Animation,Adventure,Comedy,Wes Anderson,,
200,1989,63661,26979166,26979166,18000000,14,3,1,Biography,Drama,History,Edward Zwick,,
201,1983,1601167,21192102,21192315,27000000,11,4,1,Adventure,Biography,Drama,Philip Kaufman,,
202,2013,2595,100035,20919703,13500000,25,0,0,Crime,Drama,Mystery,Giuseppe Tornatore,,
203,2014,49451322,177002924,621537519,145000000,15,0,1,Animation,Action,Adventure,Dean DeBlois,,
204,1968,5452,236452,236452,114000,7,0,0,Horror,Thriller,,George A. Romero,,
205,1979,86229,37823676,37823676,12000000,12,4,1,Drama,Music,Musical,Bob Fosse,,
206,1979,,106260000,106260000,8000000,41,5,1,Drama,,,Robert Benton,,
207,2006,89097,13756082,68673228,19000000,25,1,1,Action,Adventure,Drama,Clint Eastwood,,
208,1984,32181,34700291,34700291,14400000,28,3,1,Biography,Drama,History,Roland Joffé,,
209,1955,,,24348,,13,1,1,Drama,,,Elia Kazan,,
210,1975,,,12678,8000000,0,0,1,Adventure,War,,John Huston,,
211,1993,1189975,5635204,5848204,6000000,0,0,0,Animation,Action,Adventure,Kevin Altieri, Boyd Kirkland, Frank Paur
212,1944,,,12459,,3,0,0,Adventure,Comedy,Film-Noir,Howard Hawks,,
213,1963,7859,45522,75446,,8,0,0,Drama,,,Joseph Losey,,
214,1989,911385,18254702,18254702,19000000,16,0,1,Comedy,Drama,,Woody Allen,,
215,1964,,,,2200000,4,0,1,Drama,Thriller,,John Frankenheimer,,
216,2013,,,399445,,0,0,0,Animation,Action,Adventure,Toshiyuki Kubooka,,
217,1962,,,1962,,10,1,1,Drama,,,Blake Edwards,,
218,2008,,,489807,,0,0,0,Animation,Action,Crime,Mamoru Oshii,,
219,1988,70022,4865997,4870903,,0,0,0,Comedy,Drama,Romance,Paul Bogart,,
220,1936,,,,,0,0,1,Comedy,Romance,,Jack Conway,,
221,1924,,,,172000,4,0,0,Drama,Romance,Thriller,Victor Sjöström,,
222,1995,95047,1400591,1400591,,7,0,0,Documentary,History,,Rob Epstein, Jeffrey Friedman,
223,1988,1412213,3753977,3754273,,0,0,0,Documentary,Biography,Music,Andrew Solt,,
224,2013,189514,375627,19582747,,2,0,0,Animation,Drama,Family,Yukihiro Miyamoto, Akiyuki Shinbô,
225,2001,,289885,289885,,0,0,0,Documentary,Music,,Doug Pray,,
226,1976,,,,,0,0,0,Documentary,Action,Sport,Shûji Gotô,,
227,1959,,,,,0,0,0,Crime,Drama,,Franz Peter Wirth,,
228,2005,102685961,290469928,897048648,150000000,13,0,1,Adventure,Family,Fantasy,Mike Newell,,
229,1985,9105913,63711145,64499270,19000000,3,0,0,Adventure,Comedy,Family,Richard Donner,,
230,2007,13395610,33080084,84785914,65000000,3,0,0,Crime,Drama,Mystery,David Fincher,,
231,2010,125017372,296374621,972584232,125000000,15,0,1,Adventure,Family,Fantasy,David Yates,,
232,2001,179823,108638745,172989651,92000000,11,2,1,Action,Drama,History,Ridley Scott,,
233,2014,36206331,128261724,414351546,81000000,11,0,0,Action,Adventure,Comedy,Matthew Vaughn,,
234,2009,44979319,277339746,469328079,35000000,13,0,0,Comedy,,,Todd Phillips,,
235,2001,22550788,76631907,104876233,45000000,18,1,1,Crime,Drama,Thriller,Antoine Fuqua,,
236,2012,443003,132092958,236412453,21000000,89,1,1,Comedy,Drama,Romance,David O. Russell,,
237,1985,1710333,98467863,98467863,15000000,14,0,1,Drama,,,Steven Spielberg,,
238,2001,38107822,183417150,450717150,85000000,4,0,0,Crime,Thriller,,Steven Soderbergh,,
239,1992,10976661,75505856,75505856,40000000,7,1,1,Action,Adventure,Drama,Michael Mann,,
240,2011,55101604,146408305,352616690,160000000,22,0,0,Action,Sci-Fi,,Matthew Vaughn,,
241,2009,834501,32391374,60800444,7500000,17,0,0,Comedy,Drama,Romance,Marc Webb,,
242,2014,424397,42340598,103215094,18000000,192,4,1,Comedy,Drama,,Alejandro G. Iñárritu,,
243,1986,494571,7153487,7153487,,17,0,0,Drama,Mystery,Thriller,Jean-Jacques Annaud,,
244,1974,,119616663,119617265,2600000,3,0,1,Comedy,Western,,Mel Brooks,,
245,1988,11226239,156452370,329803958,70000000,24,3,1,Animation,Adventure,Comedy,Robert Zemeckis,,
246,1991,105317,82418501,119418501,11000000,6,0,1,Drama,,,Jon Avnet,,
247,2012,19458109,136025503,232325503,44500000,95,3,1,Biography,Drama,Thriller,Ben Affleck,,
248,1972,,,4534,2000000,2,0,1,Adventure,Drama,Thriller,John Boorman,,
249,2012,49038712,189422889,471222889,165000000,33,0,1,Animation,Adventure,Comedy,Rich Moore,,
250,2013,55785112,274092705,773031583,100000000,240,7,1,Drama,Sci-Fi,Thriller,Alfonso Cuarón,,
251,1967,,,,3000000,0,0,1,Thriller,,,Terence Young,,
252,2014,69050279,257966122,468266122,60000000,72,0,1,Animation,Action,Adventure,Phil Lord, Christopher Miller,
253,2014,48002523,124872350,307166834,12000000,23,0,0,Drama,Romance,,Josh Boone,,
254,1971,,35988495,35988495,4000000,2,0,0,Action,Crime,Thriller,Don Siegel, Clint Eastwood,
255,1987,1314509,22238696,22238696,35000000,13,0,1,Drama,War,,Steven Spielberg,,
256,2004,269225,17108591,104882445,20000000,25,0,0,Action,Comedy,Fantasy,Stephen Chow,,
257,1999,637721,22863596,23106667,13000000,48,0,1,Comedy,Drama,Fantasy,Spike Jonze,,
258,1964,354764,72560711,72632653,17000000,25,8,1,Drama,Family,Musical,George Cukor,,
259,2010,224233,1755212,4324817,14000000,2,0,0,Comedy,Drama,Romance,Rob Reiner,,
260,1992,9871125,48169910,48169910,33000000,19,0,1,Biography,Drama,History,Spike Lee,,
261,1973,,,54396,450000,4,0,0,Action,Crime,Drama,Terrence Malick,,
262,1992,2104402,10725228,10725228,12500000,8,0,1,Crime,Drama,Mystery,James Foley,,
263,2018,,,1140769,,251,3,1,Drama,,,Alfonso Cuarón,,
264,1967,,,,2500000,22,2,1,Action,Biography,Crime,Arthur Penn,,
265,1940,980798,76408097,76411819,2280000,8,0,0,Animation,Family,Fantasy,James Algar, Samuel Armstrong, Ford Beebe Jr.
266,1999,11335889,52037603,83137603,21000000,7,0,1,Animation,Comedy,Fantasy,Trey Parker,,
267,1991,34039,2015810,2113387,3500000,0,0,0,Comedy,Drama,,Jim Jarmusch,,
268,1971,,1133022,,,4,0,0,Biography,Drama,History,Ken Russell,,
269,2015,196496,6758416,9074749,8000000,18,0,0,Comedy,Drama,Romance,Alfonso Gomez-Rejon,,
270,1972,,66000000,66000000,4000000,0,0,0,Comedy,Romance,,Peter Bogdanovich,,
271,1997,38289,370720,377967,,6,0,0,Drama,Mystery,Sci-Fi,Alejandro Amenábar,,
272,1962,,,,4240000,6,1,1,Comedy,Family,Musical,Morton DaCosta,,
